street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude,kreistagkandidat
Arndtstraße,Arndtstraße,,51588,Nümbrecht,"Arndtstraße, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#98D8C8,880,50.9033978,7.5409481,Thomas Schlegel
Buchenweg,Buchenweg,,51588,Nümbrecht,"Buchenweg, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#98D8C8,880,50.9182491,7.5647814,Thomas Schlegel
Am Mühlenberg,Am Mühlenberg,,51588,Nümbrecht,"Am Mühlenberg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9039214,7.585114,Marcus Schmitz
Antoniusweg,Antoniusweg,,51588,Nümbrecht,"Antoniusweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Auf dem Bühl,Auf dem Bühl,,51588,Nümbrecht,"Auf dem Bühl, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Auf dem Wahn,Auf dem Wahn,,51588,Nümbrecht,"Auf dem Wahn, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Burgstraße,Burgstraße,,51588,Nümbrecht,"Burgstraße, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Grüner Weg,Grüner Weg,,51588,Nümbrecht,"Grüner Weg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.8608094,7.5396501,Marcus Schmitz
Höckelsbergweg,Höckelsbergweg,,51588,Nümbrecht,"Höckelsbergweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Im Mühlengrund,Im Mühlengrund,,51588,Nümbrecht,"Im Mühlengrund, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Kirchberg,Kirchberg,,51588,Nümbrecht,"Kirchberg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Mönchsheide,Mönchsheide,,51588,Nümbrecht,"Mönchsheide, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Oberste Gasse,Oberste Gasse,,51588,Nümbrecht,"Oberste Gasse, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Postweg,Postweg,,51588,Nümbrecht,"Postweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9124016,7.5313357,Marcus Schmitz
Raiffeisenstraße,Raiffeisenstraße,,51588,Nümbrecht,"Raiffeisenstraße, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Schlesierweg,Schlesierweg,,51588,Nümbrecht,"Schlesierweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Steeg,Steeg,,51588,Nümbrecht,"Steeg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.8794142,7.5089997,Marcus Schmitz
Steinbruchweg,Steinbruchweg,,51588,Nümbrecht,"Steinbruchweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Stich,Stich,,51588,Nümbrecht,"Stich, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Ulfenbach,Ulfenbach,,51588,Nümbrecht,"Ulfenbach, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Wiesenweg,Wiesenweg,,51588,Nümbrecht,"Wiesenweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
